fbbala829	fb_us_nfmobile_ba_lookalike_18-24m-20
fbbalb829	fb_us_nfmobile_ba_lookalike_25-34m-20
fbbalc829	fb_us_nfmobile_ba_lookalike_35-44m-20
fbbald829	fb_us_nfmobile_ba_lookalike_45-54m-20
fbbale829	fb_us_nfmobile_ba_lookalike_55-65m-20
fb11a902	ls_us_nfmobile_ba_11_18-24m-20
fb11b902	ls_us_nfmobile_ba_11_25-34m-20
fb11c902	ls_us_nfmobile_ba_11_35-44m-20
fb11d902	ls_us_nfmobile_ba_11_45-54m-20
fb11e902	ls_us_nfmobile_ba_11_55-65m-20
fb12a902	ls_us_nfmobile_ba_12_18-24m-20
fbf12b902	ls_us_nfmobile_ba_12_25-34m-20
fb12c902	ls_us_nfmobile_ba_12_35-44m-20
fb12d902	ls_us_nfmobile_ba_12_45-54m-20
fb12e902	ls_us_nfmobile_ba_12_55-65m-20
fb13a902	ls_us_nfmobile_ba_13_18-24m-20
fb13b902	ls_us_nfmobile_ba_13_25-34m-20
fb13c902	ls_us_nfmobile_ba_13_35-44m-20
fb13d902	ls_us_nfmobile_ba_13_45-54m-20
fb13e902	ls_us_nfmobile_ba_13_55-65m-20
fbbalb917	ls_us_nfmobile_ba_lookalike_25-34m_0917-20
fbbalc917	ls_us_nfmobile_ba_lookalike_35-44m_0917-20
fbbalde917	ls_us_nfmobile_ba_lookalike_45-65m_0917-20
fbbalb925	ls_us_nfdesktop_ba_lookalike_25-34m_0925-20
fbbalc925	ls_us_nfdesktop_ba_lookalike_35-44m_0925-20
fbbalde925	ls_us_nfdesktop_ba_lookalike_45-65m_0925-20
